timestamp,symbol,opening,high,low,closing,volume,trades,vwap,home_notional,foreign_notional,bin_size
2015-12-26 00:00:00+00:00,XBTUSD,457.33,461.56,448.48,455.44,612453,1396,455.222,2788.0197518000023,1269234.5419034888,1d
2015-12-27 00:00:00+00:00,XBTUSD,455.44,458.45,402.86,416.76,2993927,5382,426.961,12782.903806500015,5463697.062533417,1d
2015-12-28 00:00:00+00:00,XBTUSD,416.76,433.95,407.83,426.82,1267415,2952,419.204,5313.0519159999985,2227625.9964966853,1d
2015-12-29 00:00:00+00:00,XBTUSD,426.82,432.67,417.87,422.5,1865178,3142,425.877,7943.3592226,3383093.248966328,1d
2015-12-30 00:00:00+00:00,XBTUSD,422.5,434.97,418.26,434.0,1033533,2076,426.481,4407.826755399998,1880071.4880595224,1d
2015-12-31 00:00:00+00:00,XBTUSD,434.0,434.47,419.97,424.0,841044,1021,429.008,3608.1501417999916,1548082.3723371325,1d
2016-01-01 00:00:00+00:00,XBTUSD,424.0,434.23,415.99,430.76,1072844,1125,422.948,4537.5679675,1919335.1795915617,1d
2016-01-02 00:00:00+00:00,XBTUSD,430.76,436.7,426.37,435.99,478071,757,433.136,2070.6982446999987,896909.4131980954,1d
2016-01-03 00:00:00+00:00,XBTUSD,435.99,438.0,429.25,435.0,729519,695,433.034,3159.0680113,1368007.4810206844,1d
2016-01-04 00:00:00+00:00,XBTUSD,435.0,435.4,422.14,429.79,1218222,1133,428.887,5224.796560399995,2240950.7837596936,1d
2016-01-05 00:00:00+00:00,XBTUSD,429.79,436.44,427.5,432.3,798056,848,432.409,3450.8674367999974,1492213.2883707131,1d
2016-01-06 00:00:00+00:00,XBTUSD,432.3,434.97,429.0,432.57,480736,873,432.003,2076.7921106000044,897187.2787212512,1d
2016-01-07 00:00:00+00:00,XBTUSD,432.57,432.2,425.01,428.72,555455,699,429.737,2386.9963898999954,1025788.7588435955,1d
2016-01-08 00:00:00+00:00,XBTUSD,428.72,464.04,426.12,461.02,3420928,4200,450.907,15425.218669700025,6958439.827268367,1d
2016-01-09 00:00:00+00:00,XBTUSD,461.02,469.49,445.42,453.53,2973447,4139,455.951,13557.447841399966,6182144.733827109,1d
2016-01-10 00:00:00+00:00,XBTUSD,453.53,454.81,444.86,450.0,1608658,2572,450.33,7244.276882400004,3262375.147905932,1d
2016-01-11 00:00:00+00:00,XBTUSD,450.0,450.75,439.01,450.5,1316820,2367,445.423,5865.418055699999,2612667.2294169795,1d
2016-01-12 00:00:00+00:00,XBTUSD,450.5,454.89,445.28,450.43,2075229,2429,449.305,9324.112830900016,4189531.886570512,1d
2016-01-13 00:00:00+00:00,XBTUSD,450.43,453.35,430.0,431.45,1762340,2079,445.802,7856.552772200009,3502688.229432949,1d
2016-01-14 00:00:00+00:00,XBTUSD,431.45,438.01,420.48,429.94,2324192,2919,429.527,9983.023286700023,4288185.103261191,1d
2016-01-15 00:00:00+00:00,XBTUSD,429.94,432.92,425.76,427.87,651926,1411,428.988,2796.683369299997,1199753.9266689396,1d
2016-01-16 00:00:00+00:00,XBTUSD,427.87,428.31,360.0,360.0,2562104,3975,392.037,10044.390514700035,3945860.371380308,1d
2016-01-17 00:00:00+00:00,XBTUSD,360.0,391.44,350.83,388.6,2530911,4332,372.05,9416.251520400016,3504883.2656298126,1d
2016-01-18 00:00:00+00:00,XBTUSD,388.6,392.62,377.33,380.0,1923597,2694,383.981,7386.253919599975,2836332.3405789034,1d
2016-01-19 00:00:00+00:00,XBTUSD,380.0,389.1,373.16,384.53,1207683,1898,382.637,4621.039528099998,1768311.8051329602,1d
2016-01-20 00:00:00+00:00,XBTUSD,384.53,387.9,375.99,376.74,1139997,1784,381.396,4347.9000234000005,1658367.4804359467,1d
2016-01-21 00:00:00+00:00,XBTUSD,376.74,428.0,372.99,421.44,2780268,4600,405.93,11285.95460210001,4587640.146208714,1d
2016-01-22 00:00:00+00:00,XBTUSD,421.44,424.73,404.2,411.76,1709469,2986,414.219,7080.942548199989,2933408.2625735686,1d
2016-01-23 00:00:00+00:00,XBTUSD,411.76,412.26,368.01,381.8,3898698,4083,391.892,15278.689528799983,5992450.4805297805,1d
2016-01-24 00:00:00+00:00,XBTUSD,381.8,396.5,380.58,387.01,2642327,2597,389.129,10282.064742799983,4001172.2294071224,1d
2016-01-25 00:00:00+00:00,XBTUSD,387.01,408.79,386.21,403.67,1659215,2373,400.297,6641.793975400009,2659083.479236198,1d
2016-01-26 00:00:00+00:00,XBTUSD,403.67,404.51,388.17,389.0,2331402,2284,396.4,9241.667394100034,3663659.126226509,1d
2016-01-27 00:00:00+00:00,XBTUSD,389.0,397.01,386.98,391.55,1281634,1780,392.976,5036.510655499995,1979280.229958262,1d
2016-01-28 00:00:00+00:00,XBTUSD,391.55,397.92,391.31,395.63,340083,773,394.599,1341.9649764,529543.7866162057,1d
2016-01-29 00:00:00+00:00,XBTUSD,395.63,394.94,375.42,380.0,1200822,1669,382.633,4594.7387021999975,1758169.4374340584,1d
2016-01-30 00:00:00+00:00,XBTUSD,380.0,385.58,361.0,377.35,2298885,3400,374.457,8608.334278799999,3224420.709334211,1d
2016-01-31 00:00:00+00:00,XBTUSD,377.35,383.43,373.0,376.95,964099,1229,376.945,3634.127043399998,1369891.795385394,1d
2016-02-01 00:00:00+00:00,XBTUSD,376.95,379.0,360.01,364.99,711509,1458,370.972,2639.4995257999985,979338.1229052682,1d
2016-02-02 00:00:00+00:00,XBTUSD,364.99,378.56,364.99,371.62,1783415,2167,373.498,6661.0119995000105,2488054.177909431,1d
2016-02-03 00:00:00+00:00,XBTUSD,371.62,376.13,369.99,372.69,637209,1102,373.029,2376.9724960000003,886688.8993847768,1d
2016-02-04 00:00:00+00:00,XBTUSD,372.69,373.9,365.71,369.78,1088239,1871,371.178,4039.3038171,1499326.7365922215,1d
2016-02-05 00:00:00+00:00,XBTUSD,369.78,395.0,369.31,389.49,1487389,2193,379.887,5650.394893099998,2147424.987291686,1d
2016-02-06 00:00:00+00:00,XBTUSD,389.49,398.98,384.59,385.39,914820,1237,388.136,3550.7418446000092,1378194.7519080767,1d
2016-02-07 00:00:00+00:00,XBTUSD,385.39,386.18,371.0,374.3,1488034,1332,377.168,5612.390644900007,2116960.7195285033,1d
2016-02-08 00:00:00+00:00,XBTUSD,374.3,380.29,373.01,375.74,497376,597,376.078,1870.5203644999992,703473.6399567385,1d
2016-02-09 00:00:00+00:00,XBTUSD,375.74,381.44,370.89,371.86,1034043,931,376.885,3897.1488829999967,1468812.055716531,1d
2016-02-10 00:00:00+00:00,XBTUSD,371.86,377.8,371.15,375.55,184439,317,373.893,689.6037421999998,257845.02244619376,1d
2016-02-11 00:00:00+00:00,XBTUSD,375.55,385.93,374.82,381.39,347574,479,380.392,1322.1421301000003,502951.65585243114,1d
2016-02-12 00:00:00+00:00,XBTUSD,381.39,383.0,374.0,378.2,482977,714,378.531,1828.2192954999869,692063.8370645732,1d
2016-02-13 00:00:00+00:00,XBTUSD,378.2,384.56,377.47,382.22,716688,571,381.11,2731.3669857000045,1040964.2696234795,1d
2016-02-14 00:00:00+00:00,XBTUSD,382.22,395.0,382.11,394.85,924733,1006,389.342,3600.373155900002,1401845.1403086237,1d
2016-02-15 00:00:00+00:00,XBTUSD,394.85,409.4,394.33,408.92,1162021,1501,399.878,4646.6651532000005,1858267.8781981212,1d
2016-02-16 00:00:00+00:00,XBTUSD,408.92,413.99,392.0,399.17,1986806,1497,402.08,7988.556449199998,3212410.8421210763,1d
2016-02-17 00:00:00+00:00,XBTUSD,399.17,410.0,397.17,406.6,1735067,1048,403.332,6998.0865360000125,2822638.7922678716,1d
2016-02-18 00:00:00+00:00,XBTUSD,406.6,422.2,403.57,414.99,1568296,1240,415.082,6509.718423999994,2702258.243575422,1d
2016-02-19 00:00:00+00:00,XBTUSD,414.99,426.11,414.5,420.77,1050982,1124,420.376,4418.072547999994,1857315.6268707316,1d
2016-02-20 00:00:00+00:00,XBTUSD,420.77,422.19,412.0,419.71,843415,862,418.665,3531.0839258000033,1478374.7269143062,1d
2016-02-21 00:00:00+00:00,XBTUSD,419.71,447.0,420.33,438.98,2922733,2685,436.492,12757.490268600006,5569766.932023235,1d
2016-02-22 00:00:00+00:00,XBTUSD,438.98,451.61,427.5,439.87,2183112,2354,440.421,9614.893478000002,4235298.714759912,1d
2016-02-23 00:00:00+00:00,XBTUSD,439.87,442.23,430.35,439.19,862594,1720,437.303,3772.1530843999994,1649617.111852138,1d
2016-02-24 00:00:00+00:00,XBTUSD,439.19,442.23,413.57,420.07,1412797,1977,424.556,5998.116712799993,2547397.7578799734,1d
2016-02-25 00:00:00+00:00,XBTUSD,420.07,426.83,410.65,424.52,786934,1326,421.502,3316.9421859000017,1398189.8546864933,1d
2016-02-26 00:00:00+00:00,XBTUSD,424.52,431.11,418.8,424.46,1013217,884,424.317,4299.252989099996,1824359.3686883713,1d
2016-02-27 00:00:00+00:00,XBTUSD,424.46,434.33,418.45,434.02,757074,930,425.452,3220.9847210999856,1370446.6820777569,1d
2016-02-28 00:00:00+00:00,XBTUSD,434.02,436.1,429.7,432.04,660402,705,432.789,2858.1480269999993,1236991.7753762596,1d
2016-02-29 00:00:00+00:00,XBTUSD,432.04,436.0,423.18,433.99,736904,1355,428.994,3161.2755457999956,1356268.6114602003,1d
2016-03-01 00:00:00+00:00,XBTUSD,433.99,442.79,431.52,435.96,877171,1229,437.179,3834.808414399994,1676523.4199505665,1d
2016-03-02 00:00:00+00:00,XBTUSD,435.96,440.38,424.5,433.55,718888,877,433.702,3117.834405899999,1352291.5269229496,1d
2016-03-03 00:00:00+00:00,XBTUSD,433.55,435.53,421.92,423.8,584575,738,428.809,2506.7088708000006,1074964.2085340081,1d
2016-03-04 00:00:00+00:00,XBTUSD,423.8,424.01,417.8,419.99,652635,617,420.924,2747.0967871,1156333.0481754995,1d
2016-03-05 00:00:00+00:00,XBTUSD,419.99,423.33,407.35,408.68,734758,673,416.348,3059.1474744999978,1273805.45583858,1d
2016-03-06 00:00:00+00:00,XBTUSD,408.68,410.03,390.08,398.01,1053709,1008,401.928,4235.151730499994,1702480.1133494808,1d
2016-03-07 00:00:00+00:00,XBTUSD,398.01,410.38,392.76,404.08,507708,1418,403.19,2047.0259153000102,825460.0988561986,1d
2016-03-08 00:00:00+00:00,XBTUSD,404.08,414.58,402.28,412.92,550935,707,409.764,2257.532820100002,925097.7849644576,1d
2016-03-09 00:00:00+00:00,XBTUSD,412.92,415.24,409.02,412.49,260292,297,412.009,1072.4275978000007,441856.3339946936,1d
